Entrez Gene ID	Gene Symbol	Gene Name
4675	NAP1L3	nucleosome assembly protein 1-like 3
26119	LDLRAP1	low density lipoprotein receptor adaptor protein 1
959	CD40LG	CD40 ligand
6920	TCEA3	transcription elongation factor A (SII), 3
439949	LOC439949	hypothetical LOC439949
1823	DSC1	desmocollin 1
9840	KIAA0748	KIAA0748
100133168	GPR183P1	G protein-coupled receptor 183 pseudogene 1
100132760	[No Symbol]	[No Name]
643162	DKFZP779L1853	hypothetical LOC643162
641518	LOC641518	hypothetical LOC641518
54033	RBM11	RNA binding motif protein 11
9241	NOG	noggin
161291	TMEM30B	transmembrane protein 30B
340547	VSIG1	V-set and immunoglobulin domain containing 1
3399	ID3	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein
258010	SVIP	small VCP/p97-interacting protein
4054	LTBP3	latent transforming growth factor beta binding protein 3
51301	GCNT4	glucosaminyl (N-acetyl) transferase 4, core 2
400360	C15orf54	chromosome 15 open reading frame 54
340554	ZC3H12B	zinc finger CCCH-type containing 12B
158399	ZNF483	zinc finger protein 483
168537	GIMAP7	GTPase, IMAP family member 7
1236	CCR7	chemokine (C-C motif) receptor 7
11123	RCAN3	RCAN family member 3
81606	LBH	limb bud and heart development homolog (mouse)
83481	EPPK1	epiplakin 1
449645	SF3A3P2	splicing factor 3a, subunit 3 pseudogene 2
5920	RARRES3	retinoic acid receptor responder (tazarotene induced) 3
152217	LOC152217	hypothetical LOC152217
283521	NCRNA00282	non-protein coding RNA 282
54494	C11orf71	chromosome 11 open reading frame 71
120224	TMEM45B	transmembrane protein 45B
32	ACACB	acetyl-CoA carboxylase beta
646895	[No Symbol]	[No Name]
147727	LOC147727	hypothetical LOC147727
4050	LTB	lymphotoxin beta (TNF superfamily, member 3)
91624	NEXN	nexilin (F actin binding protein)
552	AVPR1A	arginine vasopressin receptor 1A
322	APBB1	amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)
113791	PIK3IP1	phosphoinositide-3-kinase interacting protein 1
140606	SELM	selenoprotein M
11043	MID2	midline 2
940	CD28	CD28 molecule
129293	C2orf89	chromosome 2 open reading frame 89
2686	GGT7	gamma-glutamyltransferase 7
3575	IL7R	interleukin 7 receptor
30061	SLC40A1	solute carrier family 40 (iron-regulated transporter), member 1
9214	FAIM3	Fas apoptotic inhibitory molecule 3
130399	ACVR1C	activin A receptor, type IC
321	APBA2	amyloid beta (A4) precursor protein-binding, family A, member 2
100132341	KIAA0664L3	KIAA0664-like 3
27134	TJP3	tight junction protein 3 (zona occludens 3)
126259	TMIGD2	transmembrane and immunoglobulin domain containing 2
7644	ZNF91	zinc finger protein 91
84850	C9orf70	chromosome 9 open reading frame 70
1408	CRY2	cryptochrome 2 (photolyase-like)
9751	SNPH	syntaphilin
390980	ZNF805	zinc finger protein 805
403313	PPAPDC2	phosphatidic acid phosphatase type 2 domain containing 2
26515	FXC1	fracture callus 1 homolog (rat)
56985	C17orf48	chromosome 17 open reading frame 48
8797	TNFRSF10A	tumor necrosis factor receptor superfamily, member 10a
199746	U2AF1L4	U2 small nuclear RNA auxiliary factor 1-like 4
28984	C13orf15	chromosome 13 open reading frame 15
7695	ZNF136	zinc finger protein 136
122773	KLHDC1	kelch domain containing 1
10778	ZNF271	zinc finger protein 271
10302	SNAPC5	small nuclear RNA activating complex, polypeptide 5, 19kDa
100130231	LOC100130231	similar to hCG1814455
9221	NOLC1	nucleolar and coiled-body phosphoprotein 1
56271	BEX4	brain expressed, X-linked 4
5440	POLR2K	polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa
23086	EXPH5	exophilin 5
161436	EML5	echinoderm microtubule associated protein like 5
645958	RPS18P9	ribosomal protein S18 pseudogene 9
100101405	LOC100101405	chromosome 4 open reading frame 43 pseudogene
120776	OR2D2	olfactory receptor, family 2, subfamily D, member 2
5140	PDE3B	phosphodiesterase 3B, cGMP-inhibited
360	AQP3	aquaporin 3 (Gill blood group)
80764	THAP7	THAP domain containing 7
282997	LOC282997	hypothetical LOC282997
54543	TOMM7	translocase of outer mitochondrial membrane 7 homolog (yeast)
440603	BCL2L15	BCL2-like 15
10023	FRAT1	frequently rearranged in advanced T-cell lymphomas
3655	ITGA6	integrin, alpha 6
