Entrez Gene ID	Gene Symbol	Gene Name
4675	NAP1L3	nucleosome assembly protein 1-like 3
5769	PTP4A2P2	protein tyrosine phosphatase type IVA, member 2 pseudogene 2
390980	ZNF805	zinc finger protein 805
161291	TMEM30B	transmembrane protein 30B
400360	C15orf54	chromosome 15 open reading frame 54
959	CD40LG	CD40 ligand
11123	RCAN3	RCAN family member 3
56985	C17orf48	chromosome 17 open reading frame 48
9840	KIAA0748	KIAA0748
6920	TCEA3	transcription elongation factor A (SII), 3
258010	SVIP	small VCP/p97-interacting protein
158399	ZNF483	zinc finger protein 483
57191	VN1R1	vomeronasal 1 receptor 1
3957	LGALS2	lectin, galactoside-binding, soluble, 2
643162	DKFZP779L1853	hypothetical LOC643162
5920	RARRES3	retinoic acid receptor responder (tazarotene induced) 3
92106	OXNAD1	oxidoreductase NAD-binding domain containing 1
51301	GCNT4	glucosaminyl (N-acetyl) transferase 4, core 2
340554	ZC3H12B	zinc finger CCCH-type containing 12B
322	APBB1	amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)
100132760	[No Symbol]	[No Name]
9241	NOG	noggin
1823	DSC1	desmocollin 1
56271	BEX4	brain expressed, X-linked 4
552	AVPR1A	arginine vasopressin receptor 1A
439949	LOC439949	hypothetical LOC439949
100131733	LOC100131733	hypothetical LOC100131733
147727	LOC147727	hypothetical LOC147727
8797	TNFRSF10A	tumor necrosis factor receptor superfamily, member 10a
91624	NEXN	nexilin (F actin binding protein)
54033	RBM11	RNA binding motif protein 11
7695	ZNF136	zinc finger protein 136
100101405	LOC100101405	chromosome 4 open reading frame 43 pseudogene
3399	ID3	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein
128553	TSHZ2	teashirt zinc finger homeobox 2
5140	PDE3B	phosphodiesterase 3B, cGMP-inhibited
10778	ZNF271	zinc finger protein 271
940	CD28	CD28 molecule
11043	MID2	midline 2
340547	VSIG1	V-set and immunoglobulin domain containing 1
321	APBA2	amyloid beta (A4) precursor protein-binding, family A, member 2
2791	GNG11	guanine nucleotide binding protein (G protein), gamma 11
152217	LOC152217	hypothetical LOC152217
32	ACACB	acetyl-CoA carboxylase beta
1408	CRY2	cryptochrome 2 (photolyase-like)
55664	CDC37L1	cell division cycle 37 homolog (S. cerevisiae)-like 1
4050	LTB	lymphotoxin beta (TNF superfamily, member 3)
26119	LDLRAP1	low density lipoprotein receptor adaptor protein 1
